煤矿名称,传感器编号,地点,类型,检测值,单位,时间
羊东矿,0000032A15,42采区回风改造风速,风速,2.10,m/s,2020-06-28 12:00:17
羊东矿,0000032D12,42皮带上部进风风向,开停,停,,2020-06-28 12:00:17
羊东矿,0000033A05,进风道猴车车房温度,温度,24.00,℃,2020-06-28 12:00:17
羊东矿,0000033A06,副斜车房温度,温度,23.80,℃,2020-06-28 12:00:17
羊东矿,0000033A08,-110治水泵房温度,温度,25.30,℃,2020-06-28 12:00:17
羊东矿,0000033A09,南井正前进风甲烷激,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000033D10,南井正前进风风向,开停,开,,2020-06-28 12:00:17
羊东矿,0000037A05,佐城二号总回甲烷,甲烷,0.06,%CH4,2020-06-28 12:00:17
羊东矿,0000037A06,佐城二号总回风速,风速,4.10,m/s,2020-06-28 12:00:17
羊东矿,0000037A07,42采区回风巷甲烷,甲烷,0.05,%CH4,2020-06-28 12:00:17
羊东矿,0000037A08,42采区回风巷风速,风速,4.10,m/s,2020-06-28 12:00:17
羊东矿,0000037A10,42轨道进风甲烷激,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000037A13,佐城一号总回甲烷,甲烷,0.08,%CH4,2020-06-28 12:00:17
羊东矿,0000037A14,佐城一号总回风速,风速,3.20,m/s,2020-06-28 12:00:17
羊东矿,0000037D09,42轨道进风风向,开停,停,,2020-06-28 12:00:17
羊东矿,0000037D12,42采区回风巷上部风门开关,风门开关传感器,风门关闭,,2020-06-28 12:00:17
羊东矿,0000037D15,-400大巷头正前风门开关,风门开关传感器,风门关闭,,2020-06-28 12:00:17
羊东矿,0000040A01,41区中部临时避难硐室门里甲烷,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000040A02,41区中部临时避难硐室里CO2,二氧化碳,0.00,%,2020-06-28 12:00:17
羊东矿,0000040A05,41区中部临时避难硐室门外甲烷,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000040A08,41区中部临时避难硐室外CO2,二氧化碳,0.00,%,2020-06-28 12:00:17
羊东矿,0000041A01,-240泵房温度,温度,25.80,℃,2020-06-28 12:00:17
羊东矿,0000041A05,-240南大巷进风甲烷激,甲烷,0.07,%CH4,2020-06-28 12:00:17
羊东矿,0000041D06,-240南大巷进风风向,开停,停,,2020-06-28 12:00:17
羊东矿,0000041D14,18风门2开关,风门开关传感器,风门关闭,,2020-06-28 12:00:17
羊东矿,0000042A01,千米钻场甲烷,甲烷,0.21,%CH4,2020-06-28 12:00:17
羊东矿,0000042A02,8272采面运料巷12钻场甲烷,甲烷,0.17,%CH4,2020-06-28 12:00:17
羊东矿,0000042A07,8272采面甲烷T1,甲烷,0.17,%CH4,2020-06-28 12:00:17
羊东矿,0000042A08,8272采面上隅角甲烷T0,甲烷,0.16,%CH4,2020-06-28 12:00:17
羊东矿,0000042A09,8272采面进风甲烷T3,甲烷,0.07,%CH4,2020-06-28 12:00:17
羊东矿,0000032A15,42采区回风改造风速,风速,2.10,m/s,2020-06-28 12:00:17
羊东矿,0000032D12,42皮带上部进风风向,开停,停,,2020-06-28 12:00:17
羊东矿,0000033A05,进风道猴车车房温度,温度,24.00,℃,2020-06-28 12:00:17
羊东矿,0000033A06,副斜车房温度,温度,23.80,℃,2020-06-28 12:00:17
羊东矿,0000033A08,-110治水泵房温度,温度,25.30,℃,2020-06-28 12:00:17
羊东矿,0000033A09,南井正前进风甲烷激,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000033D10,南井正前进风风向,开停,开,,2020-06-28 12:00:17
羊东矿,0000037A05,佐城二号总回甲烷,甲烷,0.06,%CH4,2020-06-28 12:00:17
羊东矿,0000037A06,佐城二号总回风速,风速,4.10,m/s,2020-06-28 12:00:17
羊东矿,0000037A07,42采区回风巷甲烷,甲烷,0.05,%CH4,2020-06-28 12:00:17
羊东矿,0000037A08,42采区回风巷风速,风速,4.10,m/s,2020-06-28 12:00:17
羊东矿,0000037A10,42轨道进风甲烷激,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000037A13,佐城一号总回甲烷,甲烷,0.08,%CH4,2020-06-28 12:00:17
羊东矿,0000037A14,佐城一号总回风速,风速,3.20,m/s,2020-06-28 12:00:17
羊东矿,0000037D09,42轨道进风风向,开停,停,,2020-06-28 12:00:17
羊东矿,0000037D12,42采区回风巷上部风门开关,风门开关传感器,风门关闭,,2020-06-28 12:00:17
羊东矿,0000037D15,-400大巷头正前风门开关,风门开关传感器,风门关闭,,2020-06-28 12:00:17
羊东矿,0000040A01,41区中部临时避难硐室门里甲烷,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000040A02,41区中部临时避难硐室里CO2,二氧化碳,0.00,%,2020-06-28 12:00:17
羊东矿,0000040A05,41区中部临时避难硐室门外甲烷,甲烷,0.00,%CH4,2020-06-28 12:00:17
羊东矿,0000040A08,41区中部临时避难硐室外CO2,二氧化碳,0.00,%,2020-06-28 12:00:17
羊东矿,0000041A01,-240泵房温度,温度,25.80,℃,2020-06-28 12:00:17
羊东矿,0000041A05,-240南大巷进风甲烷激,甲烷,0.07,%CH4,2020-06-28 12:00:17
羊东矿,0000041D06,-240南大巷进风风向,开停,停,,2020-06-28 12:00:17
羊东矿,0000041D14,18风门2开关,风门开关传感器,风门关闭,,2020-06-28 12:00:17
羊东矿,0000042A01,千米钻场甲烷,甲烷,0.21,%CH4,2020-06-28 12:00:17
羊东矿,0000042A02,8272采面运料巷12钻场甲烷,甲烷,0.17,%CH4,2020-06-28 12:00:17
羊东矿,0000042A07,8272采面甲烷T1,甲烷,0.17,%CH4,2020-06-28 12:00:17
羊东矿,0000042A08,8272采面上隅角甲烷T0,甲烷,0.16,%CH4,2020-06-28 12:00:17
羊东矿,0000042A09,8272采面进风甲烷T3,甲烷,0.07,%CH4,2020-06-28 12:00:17
羊东矿,0000032A15,42采区回风改造风速,风速,2.00,m/s,2020-06-28 12:01:09
羊东矿,0000032D12,42皮带上部进风风向,开停,停,,2020-06-28 12:01:09
羊东矿,0000033A05,进风道猴车车房温度,温度,24.00,℃,2020-06-28 12:01:09
羊东矿,0000033A06,副斜车房温度,温度,23.80,℃,2020-06-28 12:01:09
羊东矿,0000033A08,-110治水泵房温度,温度,25.30,℃,2020-06-28 12:01:09
羊东矿,0000033A09,南井正前进风甲烷激,甲烷,0.00,%CH4,2020-06-28 12:01:09
羊东矿,0000033D10,南井正前进风风向,开停,开,,2020-06-28 12:01:09
羊东矿,0000037A05,佐城二号总回甲烷,甲烷,0.06,%CH4,2020-06-28 12:01:09
羊东矿,0000037A06,佐城二号总回风速,风速,4.10,m/s,2020-06-28 12:01:09
羊东矿,0000037A07,42采区回风巷甲烷,甲烷,0.05,%CH4,2020-06-28 12:01:09
羊东矿,0000037A08,42采区回风巷风速,风速,4.30,m/s,2020-06-28 12:01:09
羊东矿,0000037A10,42轨道进风甲烷激,甲烷,0.00,%CH4,2020-06-28 12:01:09
羊东矿,0000037A13,佐城一号总回甲烷,甲烷,0.08,%CH4,2020-06-28 12:01:09
羊东矿,0000037A14,佐城一号总回风速,风速,3.10,m/s,2020-06-28 12:01:09
羊东矿,0000037D09,42轨道进风风向,开停,停,,2020-06-28 12:01:09
羊东矿,0000037D12,42采区回风巷上部风门开关,风门开关传感器,风门关闭,,2020-06-28 12:01:09
羊东矿,0000037D15,-400大巷头正前风门开关,风门开关传感器,风门关闭,,2020-06-28 12:01:09
羊东矿,0000040A01,41区中部临时避难硐室门里甲烷,甲烷,0.00,%CH4,2020-06-28 12:01:09
羊东矿,0000040A02,41区中部临时避难硐室里CO2,二氧化碳,0.00,%,2020-06-28 12:01:09
羊东矿,0000040A05,41区中部临时避难硐室门外甲烷,甲烷,0.00,%CH4,2020-06-28 12:01:09
羊东矿,0000040A08,41区中部临时避难硐室外CO2,二氧化碳,0.00,%,2020-06-28 12:01:09
羊东矿,0000041A01,-240泵房温度,温度,25.80,℃,2020-06-28 12:01:09
